Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,4.680000,4.740000,4.660000,4.690000,4.558671,16376000
2023-01-04,4.790000,4.800000,4.720000,4.730000,4.597552,16084400
2023-01-05,4.720000,4.740000,4.680000,4.690000,4.558671,15254700
2023-01-06,4.710000,4.830000,4.660000,4.830000,4.694751,15914000
2023-01-09,4.880000,4.940000,4.840000,4.840000,4.704472,15697100
2023-01-10,4.860000,4.890000,4.830000,4.870000,4.733631,16100000
2023-01-11,4.930000,4.950000,4.900000,4.940000,4.801671,13610300
2023-01-12,4.960000,5.020000,4.920000,5.020000,4.879431,21659200
2023-01-13,5.000000,5.040000,4.990000,5.030000,4.889151,11615200
2023-01-17,4.900000,4.910000,4.800000,4.820000,4.685031,20603300
2023-01-18,4.880000,4.890000,4.770000,4.780000,4.646152,21832800
2023-01-19,4.740000,4.750000,4.680000,4.680000,4.548951,24123700
2023-01-20,4.590000,4.620000,4.510000,4.610000,4.480912,34214500
2023-01-23,4.620000,4.670000,4.610000,4.630000,4.500351,34445300
2023-01-24,4.570000,4.610000,4.520000,4.550000,4.422592,37969500
2023-01-25,4.590000,4.650000,4.550000,4.630000,4.500351,29042000
2023-01-26,4.780000,4.860000,4.730000,4.810000,4.675312,27243000
2023-01-27,4.770000,4.790000,4.730000,4.730000,4.597552,18603400
2023-01-30,4.750000,4.800000,4.740000,4.740000,4.628801,17922700
2023-01-31,4.680000,4.760000,4.670000,4.760000,4.648332,16825000
2023-02-01,4.740000,4.890000,4.720000,4.860000,4.745986,21421800
2023-02-02,4.890000,4.940000,4.860000,4.920000,4.804578,24020600
2023-02-03,4.830000,4.860000,4.770000,4.790000,4.677628,25556300
2023-02-06,4.720000,4.720000,4.650000,4.670000,4.560443,14072000
2023-02-07,4.630000,4.730000,4.630000,4.700000,4.589739,14989100
2023-02-08,4.710000,4.720000,4.660000,4.680000,4.570208,12058000
2023-02-09,4.720000,4.720000,4.650000,4.670000,4.560443,17858700
2023-02-10,4.630000,4.680000,4.620000,4.660000,4.550677,13374400
2023-02-13,4.630000,4.690000,4.630000,4.680000,4.570208,9235400
2023-02-14,4.670000,4.730000,4.650000,4.670000,4.560443,14331600
2023-02-15,4.670000,4.740000,4.660000,4.730000,4.619036,13299900
2023-02-16,4.710000,4.770000,4.710000,4.730000,4.619036,12438500
2023-02-17,4.720000,4.780000,4.710000,4.770000,4.658097,14197500
2023-02-21,4.730000,4.750000,4.660000,4.670000,4.560443,11667600
2023-02-22,4.680000,4.690000,4.620000,4.650000,4.540912,12835600
2023-02-23,4.690000,4.710000,4.620000,4.650000,4.540912,15513300
2023-02-24,4.600000,4.620000,4.550000,4.580000,4.472554,14452900
2023-02-27,4.680000,4.710000,4.640000,4.670000,4.560443,18983400
2023-02-28,4.630000,4.670000,4.590000,4.600000,4.492085,17313000
2023-03-01,4.660000,4.670000,4.600000,4.600000,4.492085,12521500
2023-03-02,4.600000,4.700000,4.590000,4.680000,4.570208,18506300
2023-03-03,4.810000,4.850000,4.780000,4.820000,4.706924,18684000
2023-03-06,4.830000,4.850000,4.790000,4.790000,4.677628,12610600
2023-03-07,4.840000,4.850000,4.720000,4.740000,4.628801,15330000
2023-03-08,4.710000,4.760000,4.700000,4.760000,4.648332,12224900
2023-03-09,4.760000,4.830000,4.740000,4.740000,4.628801,14506800
2023-03-10,4.770000,4.780000,4.670000,4.690000,4.579974,17299600
2023-03-13,4.620000,4.710000,4.600000,4.660000,4.550677,26853200
2023-03-14,4.700000,4.720000,4.640000,4.680000,4.570208,16037300
2023-03-15,4.430000,4.510000,4.420000,4.490000,4.384665,27691900
2023-03-16,4.440000,4.580000,4.430000,4.570000,4.462789,19692500
2023-03-17,4.510000,4.530000,4.460000,4.520000,4.413962,16919500
2023-03-20,4.590000,4.610000,4.540000,4.570000,4.462789,14783000
2023-03-21,4.660000,4.680000,4.640000,4.650000,4.540912,14708800
